name,band,telescope,exptime,jd,date,filename,dark_file,time_diff,nimages,flat_type,note
flat_2460469_60d_r,r,B&C,1.25,2460469,2024-06-08T05:25:30.54,/local/jack/src/Pouakai/output/master/flat/flat_2460469_60d_r.fits.gz,,,7,,good
flat_2460469_60d_R,R,B&C,1.75,2460469,2024-06-08T05:26:54.41,/local/jack/src/Pouakai/output/master/flat/flat_2460469_60d_R.fits.gz,,,5,,good
flat_2460374_60d_R,R,B&C,5.5,2460374,2024-02-03T08:29:12.55,/local/jack/src/Pouakai/output/master/flat/flat_2460374_60d_R.fits.gz,,,9,,good
flat_2460374_60d_B,B,B&C,5.0,2460374,2024-03-05T07:39:46.78,/local/jack/src/Pouakai/output/master/flat/flat_2460374_60d_B.fits.gz,,,3,,good
flat_2460344_60d_z,z,B&C,0.6,2460344,2024-02-04T08:07:48.43,/local/jack/src/Pouakai/output/master/flat/flat_2460344_60d_z.fits.gz,,,7,,good
flat_2460344_60d_i,i,B&C,0.4,2460344,2024-02-04T08:13:19.38,/local/jack/src/Pouakai/output/master/flat/flat_2460344_60d_i.fits.gz,,,13,,good
flat_2460343_60d_r,r,B&C,3.0,2460343,2024-02-03T08:26:32.86,/local/jack/src/Pouakai/output/master/flat/flat_2460343_60d_r.fits.gz,,,7,,good
flat_2460343_60d_g,g,B&C,0.8,2460343,2024-02-03T08:22:04.05,/local/jack/src/Pouakai/output/master/flat/flat_2460343_60d_g.fits.gz,,,6,,good
flat_2460343_60d_V,V,B&C,3.5,2460343,2024-02-03T08:27:41.43,/local/jack/src/Pouakai/output/master/flat/flat_2460343_60d_V.fits.gz,,,5,,good
flat_2460343_60d_R,R,B&C,5.5,2460343,2024-02-03T08:29:12.55,/local/jack/src/Pouakai/output/master/flat/flat_2460343_60d_R.fits.gz,,,6,,good
flat_2460286_60d_OIII,OIII,B&C,8.0,2460286,2023-11-29T08:11:17.47,/local/jack/src/Pouakai/output/master/flat/flat_2460286_60d_OIII.fits.gz,,,26,,good
flat_2460286_60d_Methane,Methane,B&C,3.0,2460286,2023-12-08T08:17:30.38,/local/jack/src/Pouakai/output/master/flat/flat_2460286_60d_Methane.fits.gz,,,11,,good
flat_2460277_60d_u,u,B&C,24.0,2460277,2023-11-25T16:34:42.63,/local/jack/src/Pouakai/output/master/flat/flat_2460277_60d_u.fits.gz,,,20,,good
flat_2460277_60d_SII,SII,B&C,8.0,2460277,2023-11-25T16:43:10.62,/local/jack/src/Pouakai/output/master/flat/flat_2460277_60d_SII.fits.gz,,,10,,good
flat_2460277_60d_OIII,OIII,B&C,8.0,2460277,2023-11-29T08:11:17.47,/local/jack/src/Pouakai/output/master/flat/flat_2460277_60d_OIII.fits.gz,,,20,,good
flat_2460277_60d_Halpha,Halpha,B&C,20.0,2460277,2023-11-25T16:39:13.75,/local/jack/src/Pouakai/output/master/flat/flat_2460277_60d_Halpha.fits.gz,,,13,,good
flat_2460274_60d_z,z,B&C,5.0,2460274,2023-11-25T16:27:10.12,/local/jack/src/Pouakai/output/master/flat/flat_2460274_60d_z.fits.gz,,,8,,good
flat_2460274_60d_u,u,B&C,24.0,2460274,2023-11-25T16:34:42.63,/local/jack/src/Pouakai/output/master/flat/flat_2460274_60d_u.fits.gz,,,15,,good
flat_2460274_60d_r,r,B&C,18.0,2460274,2023-11-17T16:25:47.93,/local/jack/src/Pouakai/output/master/flat/flat_2460274_60d_r.fits.gz,,,16,,good
flat_2460274_60d_i,i,B&C,3.0,2460274,2023-11-25T16:24:39.19,/local/jack/src/Pouakai/output/master/flat/flat_2460274_60d_i.fits.gz,,,19,,good
flat_2460274_60d_g,g,B&C,25.0,2460274,2023-11-20T08:27:41.39,/local/jack/src/Pouakai/output/master/flat/flat_2460274_60d_g.fits.gz,,,28,,good
flat_2460274_60d_SII,SII,B&C,8.0,2460274,2023-11-25T16:43:10.62,/local/jack/src/Pouakai/output/master/flat/flat_2460274_60d_SII.fits.gz,,,6,,good
flat_2460274_60d_OIII,OIII,B&C,5.0,2460274,2023-11-25T16:48:39.06,/local/jack/src/Pouakai/output/master/flat/flat_2460274_60d_OIII.fits.gz,,,11,,good
flat_2460274_60d_Halpha,Halpha,B&C,20.0,2460274,2023-11-25T16:39:13.75,/local/jack/src/Pouakai/output/master/flat/flat_2460274_60d_Halpha.fits.gz,,,8,,good
flat_2460273_60d_u,u,B&C,15.0,2460273,2023-11-25T08:16:17.41,/local/jack/src/Pouakai/output/master/flat/flat_2460273_60d_u.fits.gz,,,6,,good
